# Tariffa di trasporto - livello 1 (stima per fascia di peso).
# Formato: separatore ';', decimali con ',', date 'YYYY-MM-DD', encoding UTF-8.
# Colonne: canale;area;peso_da_kg;peso_a_kg;costo_eur;valido_dal;note
#   canale: '*'=qualsiasi, oppure nome canale (es. 'Amazon').
#   area:   'ITALIA' | nome Paese (es. 'FRANCIA') | 'ESTERO' (altri Paesi) | '*'.
#   peso_da_kg incluso, peso_a_kg escluso. costo_eur = costo di UNA spedizione.
#   Per aggiornare: rigenerare/duplicare con un valido_dal NUOVO e reimportare.
canale;area;peso_da_kg;peso_a_kg;costo_eur;valido_dal;note
MANOMANO;FRANCIA;2;5;10,68;2026-01-01;eccezione canale n=33 scost 19%
*;GERMANIA;0;1;7,77;2026-01-01;base mediana 2026 n=158
*;GERMANIA;1;2;8,68;2026-01-01;base mediana 2026 n=161
*;GERMANIA;2;5;10,68;2026-01-01;base mediana 2026 n=145
*;GERMANIA;5;10;10,97;2026-01-01;base mediana 2026 n=114
*;GERMANIA;10;20;38,46;2026-01-01;base mediana 2026 n=102
*;GERMANIA;20;30;57,17;2026-01-01;base mediana 2026 n=172
*;GERMANIA;30;50;58,93;2026-01-01;base mediana 2026 n=434
*;GERMANIA;50;100;83,59;2026-01-01;base mediana 2026 n=371
*;GERMANIA;100;200;127,07;2026-01-01;base mediana 2026 n=30
Hornbach;GERMANIA;2;5;8,95;2026-01-01;eccezione canale n=49 scost -16%
Amazon;GERMANIA;30;50;74,21;2026-01-01;eccezione canale n=91 scost 26%
*;PORTOGALLO;20;30;57,54;2026-01-01;base mediana 2026 n=38
*;PORTOGALLO;30;50;88,24;2026-01-01;base mediana 2026 n=61
*;PORTOGALLO;50;100;92,88;2026-01-01;base mediana 2026 n=47
*;SPAGNA;0;1;8,18;2026-01-01;base mediana 2026 n=76
*;SPAGNA;1;2;9,68;2026-01-01;base mediana 2026 n=25
*;SPAGNA;2;5;12,52;2026-01-01;base mediana 2026 n=32
*;SPAGNA;5;10;12,85;2026-01-01;base mediana 2026 n=62
*;SPAGNA;10;20;16,69;2026-01-01;base mediana 2026 n=141
*;SPAGNA;20;30;41,50;2026-01-01;base mediana 2026 n=121
*;SPAGNA;30;50;42,98;2026-01-01;base mediana 2026 n=381
*;SPAGNA;50;100;59,83;2026-01-01;base mediana 2026 n=191
Amazon;SPAGNA;30;50;62,91;2026-01-01;eccezione canale n=116 scost 46%
*;ESTERO;0;1;7,77;2026-01-01;base mediana 2026 n=505
*;ESTERO;1;2;8,68;2026-01-01;base mediana 2026 n=304
*;ESTERO;2;5;10,68;2026-01-01;base mediana 2026 n=455
*;ESTERO;5;10;10,97;2026-01-01;base mediana 2026 n=413
*;ESTERO;10;20;17,13;2026-01-01;base mediana 2026 n=356
*;ESTERO;20;30;52,52;2026-01-01;base mediana 2026 n=691
*;ESTERO;30;50;52,61;2026-01-01;base mediana 2026 n=2155
*;ESTERO;50;100;72,69;2026-01-01;base mediana 2026 n=1302
*;ESTERO;100;200;125,21;2026-01-01;base mediana 2026 n=87
*;*;0;1;7,57;2026-01-01;base mediana 2026 n=694
*;*;1;2;7,77;2026-01-01;base mediana 2026 n=619
*;*;2;5;6,32;2026-01-01;base mediana 2026 n=1141
*;*;5;10;9,64;2026-01-01;base mediana 2026 n=1353
*;*;10;20;12,07;2026-01-01;base mediana 2026 n=1162
*;*;20;30;16,38;2026-01-01;base mediana 2026 n=2689
*;*;30;50;30,34;2026-01-01;base mediana 2026 n=5144
*;*;50;100;45,69;2026-01-01;base mediana 2026 n=2920
*;*;100;200;65,26;2026-01-01;base mediana 2026 n=260
*;*;200;300;98,67;2026-01-01;base mediana 2026 n=60
*;*;300;400;93,75;2026-01-01;base mediana 2026 n=32
*;*;400;500;117,38;2026-01-01;base mediana 2026 n=14
*;*;500;600;177,16;2026-01-01;base mediana 2026 n=11
*;*;600;700;138,16;2026-01-01;base mediana 2026 n=9
*;*;700;800;138,16;2026-01-01;base mediana 2026 n=4
*;*;800;900;138,16;2026-01-01;base mediana 2026 n=3
*;*;900;1000;138,16;2026-01-01;base mediana 2026 n=2
*;*;1000;1500;232,97;2026-01-01;base mediana 2026 n=6
*;*;1500;2000;232,97;2026-01-01;base mediana 2026 n=2
*;*;2000;2500;232,97;2026-01-01;base mediana 2026 n=2
*;*;2500;3000;232,97;2026-01-01;base mediana 2026 n=0
*;*;3000;99999;232,97;2026-01-01;base mediana 2026 n=0
